artist,song,duration [min],release year,key,tempo [bpm],genre
Missy Elliott,Work It,4.3871,2002,C#,101.868,hip hop
Ronan Keating,If Tomorrow Never Comes,3.5717666666666665,2002,A#,79.01,pop
Big Tymers,Still Fly,5.59355,2002,B,177.928,hip hop
Creed,My Sacrifice,4.91,2001,D,146.349,pop
Ja Rule,Always On Time,4.08555,2001,F,96.673,hip hop
Ashanti,Foolish,3.7897666666666665,2002,C,90.119,hip hop
Avril Lavigne,Sk8er Boi,3.4,2002,C,149.937,pop
DJ Sammy,Heaven,3.8933333333333335,2002,G#,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",3.8511,2001,D#,78.996,pop
Cam’ron,Oh Boy,3.411766666666667,2002,F#,83.014,hip hop
Red Hot Chili Peppers,By the Way,3.61555,2002,C,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,3.5251,2002,E,114.999,rock
Atomic Kitten,The Tide Is High - Radio Mix,3.4348833333333335,2002,G,103.997,pop
*NSYNC,Girlfriend,4.226666666666667,2001,C,93.967,pop
Robbie Williams,Somethin' Stupid,2.84155,2001,C,106.191,pop
Alanis Morissette,Hands Clean,4.49,2002,G,99.952,pop
Usher,U Don't Have to Call,4.49,2001,C#,100.005,hip hop
Creed,One Last Breath - Radio Version,4.033333333333333,2015,D,130.581,pop
The Goo Goo Dolls,Here Is Gone,3.96955,2002,C#,102.192,pop
Puddle Of Mudd,She Hates Me,3.6126666666666667,2001,E,109.781,rock
Ludacris,Rollout (My Business),4.9431,2001,G,131.059,hip hop
Blazin' Squad,Crossroads - Radio Edit,3.1448833333333335,2012,E,144.188,Others
Default,Wasting My Time,4.4782166666666665,2001,D,147.973,rock
Michelle Branch,All You Wanted,3.628,2001,G#,96.103,pop
Daniel Bedingfield,If You're Not The One,4.283766666666667,2002,A#,119.998,pop
Enrique Iglesias,Escape,3.4771,2001,B,125.972,pop
Puddle Of Mudd,Blurry,5.065333333333333,2001,D#,157.469,rock
Coldplay,In My Place,3.778,2002,A,144.636,rock
Outkast,The Whole World (feat. Killer Mike),4.922433333333333,2001,D,184.682,hip hop
P!nk,Don't Let Me Get Me - Radio Edit,3.51155,2001,C,98.525,pop
50 Cent,In Da Club,3.2244333333333333,2003,F#,90.051,hip hop
Sean Paul,Get Busy,3.5277666666666665,2002,A#,100.202,hip hop
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",5.370433333333334,2004,D,171.355,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),3.93555,2003,D,99.165,pop
Counting Crows,Big Yellow Taxi,3.7571,2003,G#,88.029,rock
Black Eyed Peas,Where Is The Love?,4.542216666666667,2003,F,94.059,hip hop
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,3.1306666666666665,2002,F#,100.0,hip hop
Black Eyed Peas,Shut Up,4.9364333333333335,2003,D,112.968,hip hop
t.A.T.u.,All The Things She Said,3.574,2020,F,179.92,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,4.7595,2003,B,130.017,pop
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),5.4051,2002,F#,85.996,hip hop
Panjabi MC,Mundian to Bach Ke,4.077766666666666,2003,G#,98.077,World/Traditional
Mis-Teeq,Scandalous - U.S. Radio Edit,3.9806666666666666,2004,C,99.971,pop
JAY-Z,03' Bonnie & Clyde,3.426,2002,A,89.64,hip hop
50 Cent,P.I.M.P.,4.158,2003,A#,84.722,hip hop
Jamelia,Superstar,3.5913333333333335,2003,C#,110.01,pop
Linkin Park,Faint,2.71,2003,E,135.095,rock
DMX,X Gon' Give It To Ya,3.6264333333333334,2007,A#,95.027,hip hop
Evanescence,Bring Me To Life,3.93155,2003,E,94.612,metal
Sugababes,Hole In The Head,3.636216666666667,2003,F#,125.011,pop
Craig David,Rise & Fall (feat. Sting),4.7871,2002,F#,83.373,hip hop
Three Days Grace,I Hate Everything About You,3.858,2003,F#,89.342,rock
Lil Jon & The East Side Boyz,Get Low,5.41,2002,C#,101.043,hip hop
B2K,"Bump, Bump, Bump (feat. P. Diddy)",4.712883333333333,2003,C#,95.508,hip hop
Baby Bash,Suga Suga,3.9837666666666665,2003,F,82.331,hip hop
Aaliyah,Miss You - Main,4.0873333333333335,2002,A#,109.598,hip hop
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,3.72955,2003,F#,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,3.5011,2004,G,78.955,pop
Delta Goodrem,Lost Without You,4.142433333333333,2003,G,146.301,pop
Justin Timberlake,Rock Your Body,4.454433333333333,2002,E,100.972,pop
The White Stripes,Seven Nation Army,3.8653333333333335,2003,E,123.904,rock
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,4.976666666666667,2003,F#,84.038,hip hop
Beyoncé,Baby Boy (feat. Sean Paul),4.080433333333334,2003,C#,91.025,pop
Lil' Kim,Magic Stick,5.99955,2019,D,92.98,hip hop
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),4.254433333333333,2002,G#,98.989,pop
Nickelback,Someday,3.4577666666666667,2003,B,163.118,rock
Blue,U Make Me Wanna - Radio Edit,3.7066666666666666,2003,G,158.108,pop
Ashanti,Rain On Me,4.966,2003,G#,83.701,hip hop
